"x"	"y"	"cadmium"	"copper"	"lead"	"zinc"	"elev"	"dist"	"om"	"ffreq"	"soil"	"lime"	"landuse"	"dist.m"
181072	333611	11.7	85	299	1022	7.909	0.00135803	13.6	"1"	"1"	"1"	"Ah"	50
181298	333484	2.6	81	116	257	7.655	0.190094	8	"1"	"2"	"0"	"Ga"	270
181165	333370	3.2	31	132	346	8.217	0.190094	9.2	"1"	"2"	"0"	"Ah"	240
181232	333168	1.6	24	80	183	9.049	0.309702	6.3	"1"	"2"	"0"	"W"	420
180874	333339	11.2	93	285	1096	7.32	0	15.4	"1"	"1"	"1"	"W"	20
180830	333246	9.5	86	240	1032	7.702	0	16.2	"1"	"1"	"1"	"W"	10
180625	332847	8.7	69	207	735	7.02	0	13.7	"1"	"1"	"1"	"W"	10
180704	332717	2.8	35	123	402	8.99	0.0975136	7.2	"1"	"1"	"1"	"Am"	140
181147	332823	1.4	26	75	200	8.976	0.385804	6.9	"1"	"2"	"0"	"W"	490
180973	332687	1.3	24	67	180	8.743	0.320574	4.4	"1"	"2"	"0"	"Ag"	400
181133	332570	1.3	29	78	208	8.688	0.472778	2.6	"1"	"2"	"0"	"B"	570
180954	332399	1.2	26	80	192	7.971	0.385807	1.9	"1"	"2"	"0"	"B"	500
180632	332445	5.8	50	166	569	7.756	0.135709	3.5	"1"	"2"	"0"	"Ab"	210
180383	332476	14.1	108	405	1454	6.92	0.00135803	9.5	"1"	"1"	"1"	"W"	20
180451	332175	1.7	22	65	176	8.694	0.211843	NA	"1"	"2"	"0"	"W"	260
180292	332157	4.3	50	294	746	6.36	0.190086	5.3	"1"	"2"	"0"	"Am"	200
180270	331707	1.7	24	112	282	9.42	0.554289	4.5	"1"	"2"	"0"	"Bw"	660
180237	332351	8.2	47	191	812	8.06	0.00135803	11.1	"1"	"1"	"1"	"Ah"	10
179826	332217	9.4	104	482	1528	7.74	0.0054321	13.9	"1"	"1"	"1"	"W"	10
179902	332113	3.5	34	207	550	6.74	0.135684	5.8	"1"	"1"	"0"	"Fw"	140
179526	331936	9.4	78	210	907	7.44	0.0054321	14.1	"1"	"1"	"1"	"W"	10
179414	331494	6.8	66	144	643	7.22	0.0122243	13.3	"1"	"1"	"1"	"Ah"	10
179470	331125	7.8	75	399	1060	5.8	0.211846	9	"1"	"1"	"0"	"Ah"	270
179140	330955	3.9	47	268	703	5.76	0.0756869	7	"1"	"1"	"1"	"Ab"	80
179007	330727	3.9	49	260	685	6.32	0.157469	5.7	"1"	"1"	"0"	"W"	200
179095	330636	3.9	48	241	680	6.56	0.26622	8.2	"1"	"1"	"0"	"W"	320
178912	330779	5.6	68	429	1136	6.42	0.070355	8.2	"1"	"1"	"1"	"W"	100
180151	330353	18.1	76	464	1672	7.307	0.0537723	17	"1"	"1"	"1"	"W"	50
179474	331304	1.8	25	81	241	7.932	0.12481	2.9	"2"	"2"	"1"	"Ah"	160
178953	330742	2.4	41	145	505	8.536	0.113941	9.4	"2"	"1"	"0"	"W"	150
179029	330394	2	38	148	400	7.633	0.336861	6.5	"2"	"1"	"1"	"Am"	450
179547	330245	0.9	19	54	155	7.564	0.255341	6.4	"2"	"1"	"0"	"W"	340
179462	330766	0.8	25	87	226	7.951	0.380328	5.6	"2"	"1"	"0"	"Am"	460
179206	330398	0.4	18	68	187	8.41	0.451037	5.9	"2"	"1"	"0"	"W"	540
179980	330773	0.4	23	63	203	8.76	0.532351	7.2	"2"	"2"	"0"	"W"	500
180451	331473	0.2	18	50	117	9.095	0.809742	5.3	"2"	"3"	"0"	"Fw"	1000
180114	330803	0.2	27	64	192	9.404	0.575752	7.5	"2"	"3"	"0"	"Fw"	500
179657	331150	0.2	23	49	140	8.472	0.32058	6.1	"2"	"3"	"0"	"Fw"	410
179446	331422	0.2	24	65	191	8.47	0.0756869	6	"2"	"1"	"0"	"Ah"	70
180321	330366	3.7	53	250	722	8.704	0.0974916	9.1	"2"	"2"	"0"	"Bw"	80
179797	331919	0.2	23	86	139	9.555	0.222701	7.1	"2"	"1"	"0"	"W"	240
180265	332297	2.4	47	297	832	8.809	0.0484884	10	"2"	"1"	"0"	"Ah"	60
180478	331822	0.2	16	49	119	9.604	0.489064	4.5	"2"	"2"	"0"	"Am"	550
180700	332882	1.6	34	162	474	9.72	0.0373369	7.5	"2"	"1"	"0"	"W"	170
180923	332874	0.2	20	80	220	9.155	0.228123	4.4	"3"	"1"	"0"	"Aa"	290
179822	331242	1	29	48	158	10.136	0.396675	5.2	"3"	"2"	"0"	"Am"	480
179034	330561	2	27	146	451	7.86	0.233596	7	"3"	"1"	"0"	"W"	310
179456	330072	0.8	20	51	154	7.78	0.211846	5	"3"	"1"	"0"	"Fw"	290
179337	329870	2.5	38	170	471	8.351	0.146576	8	"3"	"1"	"0"	"Bw"	220
178786	329822	3.1	42	258	783	7.706	0.0921435	8.4	"3"	"1"	"0"	"Ah"	120
179184	330182	0.8	20	49	166	8.128	0.423837	4.7	"3"	"1"	"0"	"Am"	540
179466	330381	0.8	21	51	162	9.406	0.358606	5.7	"3"	"1"	"0"	"W"	460
